자치구별,소계(남자),소계(여자),한국계 중국인(남자),한국계 중국인(여자),중국(남자),중국(여자),미국(남자),미국(여자),타이완(남자),타이완(여자),일본(남자),일본(여자),베트남(남자),베트남(여자),몽골(남자),몽골(여자),필리핀(남자),필리핀(여자),캐나다(남자),캐나다(여자),인도(남자),인도(여자),우즈베키스탄(남자),우즈베키스탄(여자),영국(남자),영국(여자),프랑스(남자),프랑스(여자),타이(남자),타이(여자),러시아(연방)(남자),러시아(연방)(여자),독일(남자),독일(여자),오스트레일리아(남자),오스트레일리아(여자),네팔(남자),네팔(여자),파키스탄(남자),파키스탄(여자),인도네시아(남자),인도네시아(여자),나이지리아(남자),나이지리아(여자),말레이시아(남자),말레이시아(여자),방글라데시(남자),방글라데시(여자),캄 보 디 아(남자),캄 보 디 아(여자),사우디아라비아(남자),사우디아라비아(여자),홍       콩(남자),홍       콩(여자),뉴질랜드(남자),뉴질랜드(여자),카자흐스탄(남자),카자흐스탄(여자),스 리 랑 카(남자),스 리 랑 카(여자),남아프리카 공화국(남자),남아프리카 공화국(여자),미  얀  마(남자),미  얀  마(여자),싱 가 포 르(남자),싱 가 포 르(여자),이       란(남자),이       란(여자),브  라  질(남자),브  라  질(여자),아 일 랜 드(남자),아 일 랜 드(여자),스  웨  덴(남자),스  웨  덴(여자),이 탈 리 아(남자),이 탈 리 아(여자),튀 르 키 예(남자),튀 르 키 예(여자),네 덜 란 드(남자),네 덜 란 드(여자),키르기스스탄(남자),키르기스스탄(여자),멕  시  코(남자),멕  시  코(여자),스  페  인(남자),스  페  인(여자),우크라이나(남자),우크라이나(여자),스  위  스(남자),스  위  스(여자),핀  란  드(남자),핀  란  드(여자),가       나(남자),가       나(여자),벨  기  에(남자),벨  기  에(여자),폴  란  드(남자),폴  란  드(여자),이  집  트(남자),이  집  트(여자),오스트리아(남자),오스트리아(여자),수       단(남자),수       단(여자),아르헨티나(남자),아르헨티나(여자),오       만(남자),오       만(여자),이 스 라 엘(남자),이 스 라 엘(여자),페       루(남자),페       루(여자),덴  마  크(남자),덴  마  크(여자),모  로  코(남자),모  로  코(여자),이  라  크(남자),이  라  크(여자),기       타(남자),기       타(여자)
강남구,2452,2882,156,263,467,466,467,446,63,85,226,307,85,140,14,59,23,51,89,82,56,31,45,21,57,79,75,72,73,84,49,130,28,44,36,13.0,13,3.0,22,2,11,40,0.0,0.0,9,9,8,3.0,28,3,10.0,4.0,16.0,28,3.0,7.0,19,27,4.0,1.0,22.0,32.0,23,22,19.0,16.0,6,12.0,19,22,9.0,14.0,13.0,7.0,13,15.0,25.0,26,7.0,9.0,1.0,4,3.0,5,18.0,10.0,6.0,43.0,4.0,3.0,2.0,2.0,0.0,0.0,13.0,3.0,2.0,9.0,3.0,1.0,4.0,6.0,0.0,0.0,1.0,6.0,0.0,1.0,3.0,1.0,1.0,2.0,5.0,3.0,3.0,11.0,0.0,0.0,75,97
강동구,1812,2256,688,652,188,422,79,130,26,51,32,176,118,269,97,120,21,74,17,15,22,11,96,35,20,24,11,8,33,52,24,32,6,10,13,8.0,15,3.0,21,5,8,5,0.0,0.0,5,7,9,3.0,70,12,2.0,8.0,4.0,12,2.0,3.0,10,11,14.0,1.0,10.0,12.0,54,6,1.0,2.0,3,1.0,1,2,6.0,3.0,1.0,3.0,3,4.0,42.0,7,2.0,1.0,5.0,7,4.0,3,1.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,17,22
강북구,1613,3036,360,398,264,738,51,46,51,76,8,155,238,563,243,487,21,78,13,2,9,3,79,50,7,9,17,22,43,62,6,42,4,11,1,0.0,16,19.0,30,12,5,24,0.0,0.0,2,4,6,4.0,5,20,14.0,15.0,0.0,22,5.0,0.0,7,20,2.0,2.0,3.0,3.0,11,19,1.0,5.0,8,5.0,1,4,3.0,0.0,2.0,2.0,1,0.0,22.0,9,1.0,1.0,2.0,8,0.0,4,7.0,9.0,8.0,11.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,24,54
강서구,2470,3169,860,859,329,683,89,112,119,150,53,321,148,314,23,67,24,109,43,14,42,12,41,31,33,29,20,12,108,85,37,78,14,8,26,6.0,9,6.0,17,11,13,22,7.0,4.0,25,8,8,4.0,51,29,0.0,1.0,10.0,25,12.0,2.0,6,16,6.0,2.0,6.0,5.0,105,36,2.0,2.0,5,1.0,13,7,5.0,6.0,2.0,0.0,16,2.0,8.0,10,4.0,1.0,1.0,4,8.0,1,12.0,0.0,2.0,7.0,5.0,2.0,2.0,0.0,9.0,3.0,6.0,2.0,3.0,3.0,23.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,10.0,0.0,1.0,48,41
관악구,6190,9220,2888,2679,914,1831,143,231,54,140,72,472,334,857,219,505,28,129,38,39,107,121,210,92,50,66,88,153,27,147,50,232,58,75,17,23.0,69,40.0,42,30,61,158,11.0,6.0,43,84,66,12.0,41,35,1.0,5.0,11.0,69,10.0,6.0,27,75,22.0,13.0,11.0,14.0,38,96,5.0,22.0,21,53.0,19,32,8.0,4.0,7.0,14.0,11,41.0,21.0,62,21.0,13.0,8.0,24,11.0,14,14.0,34.0,2.0,37.0,8.0,4.0,2.0,12.0,15.0,2.0,11.0,10.0,5.0,17.0,20.0,13.0,6.0,9.0,1.0,2.0,4.0,7.0,0.0,3.0,2.0,3.0,3.0,15.0,7.0,4.0,15.0,47.0,0.0,2.0,193,285
광진구,6167,9188,1723,1714,1736,3227,109,131,49,117,64,411,612,1397,494,679,26,58,33,20,113,74,356,96,25,24,51,84,2,47,17,75,26,63,9,8.0,102,95.0,132,67,58,89,3.0,0.0,57,111,103,30.0,5,10,1.0,3.0,8.0,54,2.0,3.0,25,50,19.0,1.0,2.0,11.0,40,103,0.0,13.0,22,17.0,3,13,2.0,5.0,9.0,8.0,7,26.0,7.0,17,17.0,22.0,4.0,11,4.0,14,11.0,27.0,4.0,15.0,4.0,6.0,3.0,10.0,1.0,0.0,4.0,5.0,2.0,12.0,4.0,6.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,7.0,0.0,0.0,52,88
구로구,12207,10679,9318,6386,2061,3076,41,62,61,87,33,183,175,287,33,54,45,81,17,7,27,15,28,22,12,14,13,30,6,70,12,34,5,7,11,3.0,13,7.0,25,7,12,21,3.0,1.0,23,23,21,2.0,15,19,1.0,0.0,2.0,20,5.0,2.0,21,22,13.0,2.0,2.0,1.0,87,45,2.0,4.0,3,0.0,2,1,2.0,3.0,3.0,3.0,3,3.0,4.0,10,0.0,0.0,2.0,9,0.0,7,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,29,31
금천구,7094,6371,5371,3872,1045,1573,24,29,36,53,17,123,146,292,53,64,56,69,7,6,15,5,20,20,4,6,11,16,18,51,10,19,1,3,3,1.0,19,9.0,22,2,12,15,1.0,1.0,1,2,10,2.0,44,24,0.0,0.0,0.0,11,2.0,0.0,5,8,20.0,2.0,0.0,0.0,83,9,0.0,2.0,1,8.0,3,5,1.0,1.0,0.0,1.0,2,3.0,0.0,5,1.0,3.0,3.0,9,1.0,1,3.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,14,18
노원구,1875,2559,187,215,345,483,101,104,30,43,18,219,477,690,164,184,17,70,27,12,49,35,55,27,19,13,8,8,79,39,16,67,8,3,11,1.0,22,15.0,17,25,15,14,10.0,1.0,5,7,11,9.0,20,15,6.0,0.0,2.0,12,3.0,1.0,4,17,1.0,2.0,7.0,6.0,39,107,0.0,2.0,7,23.0,1,4,3.0,0.0,1.0,0.0,4,1.0,5.0,6,0.0,0.0,10.0,9,3.0,5,5.0,3.0,2.0,7.0,0.0,1.0,1.0,2.0,6.0,0.0,1.0,3.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,2.0,40,34
도봉구,823,1570,159,178,99,278,40,43,18,27,18,120,100,333,106,174,51,118,10,7,1,3,21,44,15,11,9,4,12,34,6,28,3,4,3,2.0,20,13.0,28,6,3,8,6.0,1.0,1,10,5,1.0,12,18,0.0,0.0,2.0,10,0.0,1.0,1,6,0.0,1.0,2.0,4.0,24,29,2.0,0.0,4,3.0,1,1,1.0,0.0,0.0,0.0,2,0.0,1.0,8,1.0,0.0,0.0,7,1.0,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,26,28
동대문구,6468,11407,797,797,2313,5365,107,164,86,313,62,662,1385,1605,263,420,71,119,35,16,85,79,220,118,30,36,31,89,10,81,37,131,65,93,10,15.0,194,97.0,24,10,39,77,6.0,3.0,32,92,41,20.0,40,32,3.0,6.0,31.0,145,6.0,3.0,18,70,13.0,4.0,7.0,23.0,53,68,9.0,37.0,20,32.0,7,17,1.0,2.0,4.0,21.0,8,22.0,10.0,37,13.0,16.0,14.0,34,5.0,36,8.0,29.0,2.0,18.0,6.0,6.0,9.0,18.0,7.0,5.0,3.0,6.0,2.0,15.0,8.0,12.0,3.0,4.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,5.0,10.0,5.0,5.0,1.0,18.0,13.0,9.0,184,238
동작구,4342,6244,1529,1426,1185,2082,120,109,44,140,32,312,488,1136,51,99,13,48,24,14,43,33,83,34,25,21,69,66,29,56,21,87,26,50,7,7.0,12,19.0,38,22,15,40,7.0,5.0,3,14,27,2.0,12,10,0.0,1.0,5.0,27,9.0,0.0,5,18,11.0,5.0,2.0,3.0,10,41,3.0,5.0,7,7.0,3,5,3.0,1.0,5.0,5.0,8,12.0,3.0,7,10.0,11.0,3.0,7,1.0,5,15.0,12.0,5.0,13.0,1.0,5.0,7.0,6.0,9.0,0.0,2.0,3.0,4.0,11.0,8.0,10.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,7.0,9.0,2.0,5.0,12.0,10.0,3.0,1.0,271,160
마포구,4047,7335,353,358,973,2276,491,739,491,619,386,755,183,476,28,50,26,76,62,41,76,76,19,18,86,68,151,258,33,161,39,140,70,102,26,32.0,22,15.0,13,12,23,92,2.0,1.0,14,52,9,10.0,11,23,47.0,49.0,31.0,150,16.0,8.0,9,36,8.0,4.0,12.0,14.0,8,24,15.0,39.0,12,13.0,10,26,13.0,9.0,10.0,31.0,20,50.0,14.0,16,28.0,45.0,0.0,12,18.0,17,30.0,47.0,7.0,10.0,8.0,12.0,5.0,4.0,3.0,0.0,11.0,18.0,7.0,20.0,16.0,5.0,3.0,10.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,5.0,7.0,8.0,13.0,14.0,0.0,2.0,74,184
서대문구,4332,9606,238,315,1225,3356,327,429,882,966,86,735,414,1137,50,111,25,115,61,61,87,108,41,32,94,96,130,230,14,180,23,103,49,131,28,51.0,22,16.0,26,12,23,142,3.0,4.0,13,83,7,10.0,16,29,4.0,8.0,39.0,166,9.0,6.0,20,70,5.0,6.0,13.0,9.0,34,98,13.0,36.0,15,33.0,8,29,6.0,6.0,6.0,23.0,18,48.0,10.0,25,18.0,35.0,4.0,25,10.0,37,32.0,48.0,4.0,14.0,9.0,19.0,5.0,16.0,9.0,1.0,9.0,24.0,7.0,16.0,5.0,10.0,3.0,8.0,3.0,6.0,3.0,6.0,0.0,0.0,2.0,5.0,3.0,7.0,7.0,16.0,4.0,22.0,0.0,3.0,111,273
서초구,2087,2275,180,225,295,356,408,325,41,77,105,205,41,88,15,26,13,70,64,42,61,32,28,22,67,63,304,190,15,61,16,52,32,27,33,15.0,15,3.0,6,2,11,20,3.0,2.0,14,15,2,2.0,7,3,20.0,8.0,4.0,20,7.0,6.0,15,15,3.0,1.0,4.0,11.0,8,8,10.0,9.0,4,7.0,8,4,8.0,2.0,17.0,7.0,20,33.0,16.0,23,14.0,9.0,0.0,3,3.0,8,14.0,16.0,4.0,9.0,1.0,1.0,1.0,2.0,0.0,0.0,14.0,12.0,8.0,5.0,8.0,5.0,3.0,2.0,0.0,0.0,4.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,6.0,10.0,1.0,6.0,0.0,1.0,77,96
성동구,2966,4211,599,605,909,1631,118,105,71,80,37,273,373,604,82,145,84,79,32,9,75,51,76,26,26,18,21,38,14,40,12,48,29,33,17,4.0,31,22.0,70,26,44,40,7.0,9.0,35,62,37,4.0,7,11,3.0,4.0,7.0,22,5.0,5.0,5,12,4.0,0.0,5.0,9.0,20,33,5.0,9.0,4,4.0,4,6,0.0,2.0,2.0,8.0,10,5.0,6.0,13,2.0,2.0,2.0,9,1.0,2,5.0,14.0,0.0,6.0,1.0,4.0,0.0,3.0,8.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,7.0,2.0,0.0,48,51
성북구,4497,7921,339,343,1400,2874,222,302,107,182,53,370,603,1105,419,777,73,207,48,33,103,85,159,60,40,44,40,104,15,52,21,137,54,60,17,27.0,45,46.0,74,40,63,98,7.0,5.0,29,81,46,27.0,9,24,5.0,5.0,10.0,53,4.0,3.0,20,93,11.0,18.0,12.0,11.0,57,108,11.0,16.0,8,19.0,9,4,9.0,6.0,7.0,9.0,22,31.0,18.0,34,13.0,18.0,15.0,23,8.0,22,11.0,15.0,7.0,17.0,5.0,8.0,9.0,9.0,3.0,3.0,9.0,6.0,3.0,11.0,5.0,8.0,7.0,6.0,2.0,1.0,0.0,1.0,6.0,3.0,0.0,3.0,8.0,14.0,4.0,9.0,9.0,14.0,0.0,0.0,184,237
송파구,2568,3203,978,966,357,597,240,318,45,97,108,224,94,223,41,57,27,68,48,46,87,61,46,19,65,54,39,24,45,68,21,39,23,16,18,13.0,20,0.0,2,1,1,24,1.0,0.0,5,11,4,1.0,21,12,26.0,18.0,5.0,22,14.0,6.0,8,19,6.0,7.0,11.0,27.0,32,8,9.0,17.0,5,4.0,5,5,0.0,7.0,0.0,2.0,7,5.0,8.0,9,0.0,1.0,4.0,1,4.0,6,3.0,6.0,7.0,23.0,4.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,6.0,4.0,1.0,0.0,53,42
양천구,1316,1874,616,577,173,356,69,91,83,70,17,131,72,207,35,51,22,91,20,16,7,7,15,18,18,26,15,5,4,36,18,21,2,4,10,7.0,4,3.0,11,4,14,9,1.0,2.0,2,4,3,0.0,7,20,0.0,0.0,3.0,13,2.0,4.0,12,17,0.0,0.0,4.0,9.0,5,10,2.0,3.0,1,2.0,2,1,7.0,4.0,3.0,3.0,2,1.0,2.0,2,2.0,1.0,0.0,5,1.0,2,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,3.0,5.0,0.0,0.0,16,17
영등포구,11682,11022,8415,6600,1989,2871,122,119,169,172,39,258,125,266,27,52,23,51,33,20,39,12,28,20,23,28,44,23,50,47,18,62,14,13,18,5.0,78,18.0,21,3,116,128,1.0,0.0,22,20,11,0.0,30,7,2.0,1.0,14.0,48,5.0,1.0,5,12,12.0,3.0,7.0,1.0,39,25,5.0,8.0,5,2.0,6,11,7.0,5.0,2.0,3.0,8,10.0,18.0,8,4.0,5.0,6.0,4,3.0,3,8.0,8.0,0.0,8.0,5.0,4.0,2.0,3.0,1.0,0.0,3.0,5.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,44,37
용산구,7842,6698,295,343,200,375,1230,939,155,160,489,584,82,183,68,110,154,452,123,81,379,230,85,75,198,129,216,176,107,104,65,164,199,206,74,51.0,18,12.0,266,130,39,52,388.0,129.0,469,175,93,56.0,39,45,131.0,101.0,28.0,30,21.0,13.0,40,59,25.0,18.0,65.0,46.0,60,76,23.0,32.0,44,34.0,20,23,25.0,10.0,36.0,21.0,65,49.0,88.0,49,26.0,26.0,31.0,42,21.0,18,42.0,45.0,29.0,34.0,10.0,8.0,9.0,9.0,76.0,37.0,21.0,26.0,4.0,8.0,203.0,37.0,7.0,7.0,40.0,30.0,14.0,10.0,2.0,1.0,13.0,15.0,15.0,27.0,42.0,30.0,57.0,48.0,45.0,38.0,1033,680
은평구,1608,2449,393,423,238,480,91,73,239,248,73,291,119,373,27,45,27,81,21,15,35,21,22,34,33,12,17,24,18,57,11,43,12,7,11,5.0,8,3.0,9,2,9,17,4.0,1.0,12,21,7,1.0,18,18,7.0,3.0,12.0,36,4.0,2.0,4,7,1.0,1.0,10.0,10.0,15,8,4.0,3.0,5,1.0,2,4,6.0,1.0,3.0,1.0,4,2.0,1.0,5,9.0,3.0,2.0,5,4.0,2,6.0,4.0,1.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,1.0,36,26
종로구,4597,6585,415,434,1095,2890,526,460,84,189,157,221,971,1030,32,54,22,59,24,17,22,17,41,30,68,31,73,84,6,32,44,62,31,41,69,64.0,459,302.0,15,5,15,34,1.0,1.0,13,21,3,3.0,2,8,8.0,6.0,5.0,34,4.0,0.0,13,14,5.0,7.0,2.0,0.0,48,23,11.0,18.0,4,1.0,26,29,9.0,5.0,0.0,9.0,15,15.0,5.0,15,11.0,19.0,1.0,2,9.0,15,17.0,20.0,1.0,4.0,17.0,6.0,3.0,11.0,2.0,1.0,7.0,6.0,8.0,12.0,6.0,3.0,7.0,8.0,0.0,0.0,0.0,0.0,8.0,9.0,18.0,22.0,2.0,2.0,5.0,10.0,3.0,4.0,0.0,0.0,129,166
중구,4873,5547,537,529,1251,1725,173,121,253,308,115,156,682,820,117,157,32,78,62,43,87,66,218,176,65,59,59,57,8,34,351,404,90,96,21,18.0,13,9.0,41,6,12,23,2.0,1.0,23,15,4,2.0,11,8,14.0,10.0,18.0,51,12.0,8.0,128,104,22.0,7.0,2.0,2.0,11,16,11.0,20.0,4,4.0,7,2,4.0,2.0,10.0,17.0,17,27.0,15.0,13,12.0,9.0,12.0,9,3.0,9,20.0,15.0,9.0,17.0,2.0,3.0,4.0,7.0,9.0,2.0,4.0,3.0,7.0,16.0,14.0,6.0,6.0,9.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,17.0,13.0,19.0,18.0,12.0,4.0,0.0,0.0,219,205
중랑구,2030,3113,522,599,237,487,35,37,32,51,13,147,258,483,663,873,29,113,12,11,3,1,22,30,15,9,7,8,5,58,3,27,3,1,7,1.0,21,13.0,7,3,2,7,1.0,0.0,4,5,42,10.0,4,22,0.0,0.0,0.0,20,0.0,0.0,9,8,6.0,1.0,2.0,3.0,10,7,1.0,3.0,9,3.0,1,7,4.0,1.0,1.0,1.0,4,3.0,5.0,4,3.0,1.0,2.0,9,1.0,5,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,15,25
